,pre_turn_1,pre_turn_2,pre_turn_3,pre_turn_4,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4
15, , ,嗨。,嗨喽。,你知道最近法国男篮的赛事吗？,不是很清楚，你给我讲讲吧。,这次法国男篮的水平感觉就是发挥超常呀。,是吗？那这次的比赛应该很精彩吧。,确实很精彩，法国男篮居然直接淘汰了美国男篮进入了四强。,那看来法国男篮这次发挥的确实很不错呀，进入了四强。
16, , ,你好。,嗨喽。,你有关注最近的羽毛球比赛吗？,没有，我平时不怎么观看羽毛球比赛。,这样呀，这次的羽毛球比赛很精彩的，要我给你讲讲吗？,可以呀，说来听听。,这次军运会最精彩的应该就是最后一局了，我们是对战的韩国。,对战韩国吗？这样最后比赛结果怎么样呀。
17,你也在看今日财经新闻吗？,嗯，我没事的时候喜欢看看新闻，财经相关的我都比较喜欢。,你是做财经相关的工作的吗？一般人都不喜欢看财经新闻啊。,嗯，我搞了点小投资，没事就喜欢看看财经新闻怕自己亏钱。,也对，最近你听说北极光创投董事总经理杨磊参加了2019中国创业武林大会了吗？,没看过啊，就知道。马云曾经去演讲过的地方吗？,是啊，没点本事是真的难进这种创业大会，说真的。,你说现在赚钱的行业有哪些啊？,我觉得吧，就像杨磊说的5G行业是比较赚钱的，你可以去看看这方面有发展吗!,5G行业？这都是些大佬做的东西，我们能做些什么嘛。
18,你一个人在这边打篮球吗？,嗯，现在还早嘛没有人，想出来打打篮球锻炼下身体。,好巧啊，我也喜欢打篮球，你平时喜欢看CBA的篮球比赛吗？,我不太喜欢CBA的篮球比赛，我还是喜欢NBA一点点。,好吧，最近CBA到是有一个重大的消息你知道吗？,不知道啊，什么消息啊？,广州男篮已经裁掉了外援CJ-哈里斯，这个还是最近几天发布的消息。,不知道啊，不过我对CJ-哈里斯还挺熟悉的，这人还不错。,是啊，你也不是看打过NBA的人，有哪个是简单的啊。,我感觉NBA出来的人到CBA都是厉害的很的人。
19,哎呀，我只是队她们几个女孩感兴趣而已吗，没在意其他的,好吧，话说她们好幸福啊，那次打赢了比赛，还获得了马云爸爸清空购物的权力,当然咯，要是马云爸爸给我清空购物车，我也会,哈哈哈哈，希望我们女排可以继续努力，再让马云爸爸为她们清空一次购物车,是的是的，对了你会打排球吗？,不是很会欸，好了不说了，我这边有点急事需要处理一下，拜拜, , , , 
20, ,嗨，你好。,你好。,你最近再看羽毛球比赛吗？,最近在复习准备考试，没怎么看比赛了，最近的比赛有什么看点吗？,还没开始打，但我看新闻说林丹将对战勒维德兹，林丹在今年都七次首轮出局了，不知道他这次能不能进局。,林丹之前不是和勒维德兹打过吗，而且都赢了的啊。,但林丹的状态和以前是不能比的，他的巅峰已经没有了。,那我们国家还有谁参赛了？,还有韩悦和陈晓欣，但陈晓欣在第二轮可以会遇上韩国的天才少女安洗莹，也很悬啊。
21, , ,你好，有空吗，我们能一起聊天吧,可以，你想聊些什么？,我们聊一会足球吧，你最近关注了美洲杯的比赛了吗？,没有，发生了什么有趣的事吗？,你知道日本球员三好康儿吗？比赛的时候发挥极好，一战成名。,对日本不怎么感冒。只知道梅西、C罗和内马尔。三好康儿很厉害？,嗯，这场比赛相当精彩，乌拉圭两次落后的情况下，两次都将比分扳平，22岁的三好康儿完成梅开二度，苏亚雷斯和希门尼斯为乌拉圭各入1球，最终乌拉圭2-2战平日本。,日本能和乌拉圭打平，那还是不容易的。这个日本球员还梅开二度，那还是有点厉害哦
22,同学你最近有在关注台球比赛嘛？,我还好吧，只是我男朋友喜欢打台球，有时候会陪他看看。,那还是可以啊，你们一般看国内赛还是国外赛呀？,上次我就和他一起看了斯诺英格兰公开台球赛，其他的比赛就不记得了。,那你有支持的球员嘛？,我没有特别喜欢的球员，就我男朋友还比较喜欢尔伯特。你喜欢哪个球员呢？,我知道他，不过我比较喜欢塞尔比，他真的太棒了！,我记得塞尔比有一场比赛就是对阵尔伯特的吧？,对啊，看样子你应该没有看后面他们俩个对阵，尔伯特输的还挺惨的。,他怎么了？他球技还可以啊，我看他比赛都觉得还行。
23, , ,你好啊。,你好。,你喜欢打台球吗？,啊，初中的时候比较喜欢，现在不喜欢了。,那你喜欢看台球的比赛嘛？,挺喜欢的啊，我很喜欢那个丁俊晖，他打球很厉害的。,嗯嗯，我也喜欢他哈哈，看来一说到台球第一反应想到的就是他啊。,是啊，毕竟他是奥运会冠军嘛。
24,你平常喜欢看电视剧吗？,喜欢呀，平时时间多，就喜欢追追剧，你呢？,喜欢看撒狗粮那种剧吗？,哈哈哈，喜欢啊，年轻人就看一些甜甜的剧嘛,最近有一部叫《满满喜欢你》的剧正在热播，你看了吗？,没有也，很好看吗？讲得什么呀？,我只是知道这个剧在芒果TV播出，我也没有看,那你知道是谁演的吗？,我没看的一个原因都是那些演员我都不认识，没有大明星,没有大明星都还在芒果TV播，那应该还是好看，不然就是在捧新人
25, , ,你好。,你好啊。,你看过《满满喜欢你》这部电视剧吗？,我没有看过，只是听说过一点点，不知道是谁演的。,这部剧里面的演员有鲁照华、刘昱晗他们是主演。,现在的这些演员没怎么听说过，都是一些小鲜肉吧。,是吧，现在的新生代演员太多了，都是演这种爱情剧。,爱情剧我是真的不怎么感兴趣，平时都看仙剑古装玄幻剧。
26, , ,hello，你好~,你好，怎么？,你知道最近的NBA比赛，猛龙队和鹈鹕的较量吗？,不知道，我对这种体育新闻不是很感兴趣，但是你可以给我说说,其实就是卫冕冠军以8分的差距战胜了对手，然后西亚卡姆和范弗利特一起为球队获得了首胜,卫冕冠军是哪个队的啊？这个是一个冠军的名字吗？,不是这个就是指的猛龙队罢了，其实最开始这个队，开始的时候很惨的，两队伍相差11分，是不是觉得这个差距有点大,好像是哈，这个比分，心理都是一个很大的考研，毕竟影响一个队伍的发挥
27,你好，怎么？,你知道最近的NBA比赛，猛龙队和鹈鹕的较量吗？,不知道，我对这种体育新闻不是很感兴趣，但是你可以给我说说,其实就是卫冕冠军以8分的差距战胜了对手，然后西亚卡姆和范弗利特一起为球队获得了首胜,卫冕冠军是哪个队的啊？这个是一个冠军的名字吗？,不是这个就是指的猛龙队罢了，其实最开始这个队，开始的时候很惨的，两队伍相差11分，是不是觉得这个差距有点大,好像是哈，这个比分，心理都是一个很大的考研，毕竟影响一个队伍的发挥,是啊，但是你知道吗，在最后1分多钟的时候，猛龙队就直接将优势扩大，反而胜利了，牛逼吧？,确实有点牛逼，不愧是卫冕冠军哈~确实是有实力的队伍~,嗯嗯，不过话说回来，你对什么感兴趣啊？对于听歌有兴趣吗？
28, , ,嗨，你好啊~,你好，你对体育赛事感兴趣吗？,挺有兴趣的，今年就是多哈田径世锦赛男子110米栏决赛，你知道吗？,知道，可惜没有了飞人刘翔,但是，出现了新人谢文俊，他也很不错呢,之前只关注了刘翔和史冬鹏，现在看来谢文俊也很值得关注呢,对啊，谢文俊虽然没有超过刘翔的记录，但是却超过了史东鹏，成为了中国男子110米栏历史第二人,史冬鹏算是跨栏‘老人’了，03年世锦赛第六，07年第五，还是有点可惜
29,你好啊。,你好。,你知道软银计划对其管理的愿景基金减记至少50亿美元吗?股份价值大幅缩水。,股票啊，我不关注股市诶，我看不懂这个。,你都没有买基金什么的理财产品吗？,是的啊，之前买过然后亏了我就没买过了，不会看这个。,原来是这样，股市要学习的东西还是挺多的，刚开始不懂确实很难。,对啊，我直接蒙的，我买都是随便买的。,好的吧，那你平时周末都在做什么呢？,我啊，我周末在家看电视玩游戏之类的。
30,但是现在不同了。初创企业从天使轮到IPO的时间越来越短，他们会吸收数十亿美元的投资，并且迅速成为独角兽。,这些有的本就是自身的问题，有的看似高举，但随着自身发展的不均衡和管理、运营、商业模式上的硬伤，漏洞也会在IPO之后迅速曝光。,这些反正也不是我们的事，我们也就只能讨论讨论。,对，这些生死我们也不能超控，这些都是企业家该想的办法。,最近还有什么新闻吗？,不知道，我就只知道这么一个，其他的都不知道了。,我突然有事，拜拜。, , , 
31, , ,你好啊！,你好！,你也喜欢在这家网吧玩游戏吗？,不是啊，主要是我的电脑还没配好，只有在这家我网吧玩游戏了。,你电脑打算配什么配置的啊？现在一般的配置还不能打吃鸡。,我还在考虑嘛， 主要还是显卡的问题。我还不知道买哪款显卡。,你需要什么配置的显卡嘛，我可以给你推荐下。,我也不太清楚嘛，所以一直等到现在还没有选好。
32,好巧啊，我也喜欢打篮球，我们可以一起玩啊！,好啊，你技术怎么样啊?我打篮球的技术很差，希望不要嫌弃。,我也是玩玩而已，你喜欢看NBA吗？,NBA啊，我就是没事I的时候看看，一般都不太爱看。,最近，波士顿凯尔特人队前锋杰伦-布朗和球队达成4年的合同总价值1.15亿美元这件事你知道吗？,不知道啊，不过我对布朗还挺熟悉的，这人还不错。,是啊，你也不是看打过NBA全明星的人那个是简单的。,"1,15亿美元反正我觉得是真的钱多。",怎么说呢，这个其实是双向的，你帮别人打球别人给钱正常好吧！,也对，要是我也签约去打球。
33, , ,你好啊。,哈喽、,你最近有关注那个大约在冬季的电影吗？,没有啊，大约在冬季不是一首歌吗，还挺老的。,现在有一部电影叫大约在冬季了哈哈，马思纯和霍建华演的。,啊，那我不知道，没有了解过，不过这两个演员我都挺喜欢的。,我也挺喜欢这两个演员的，好像魏大勋也有参演啊。,那这个阵容还是不错的啊，有机会我去了解一下，里面的演员我都喜欢。
34,这两部电视剧之前都比较火，尤其是《东宫》。,《东宫》，哇，这部剧真的好虐啊，够我哭三天三夜了,真的吗，里面的主角大多数都是新人，但他们也因为这一部剧而一举走红,总之，个人觉得匪我思存真的太棒了，希望多一点像他那样的人,你是他的粉丝吗？你看过他的相关小说吗？,小说这方面不怎么了解，不是粉丝，拜拜！,再见,j结束对话, , 
35,你好，可以聊聊吗？,好呀，可以聊天的,你喜欢篮球吗？你平常看NBA吗？,还行，我看篮球多，不会打篮球,你知道拉梅洛吗？,不太了解也，是哪个队伍的呀？,他将效力于伊拉瓦拉老鹰队。他是球哥朗佐-鲍尔的三弟，最近有段他打球的视频流传在网上。,哦哦哦，球哥朗佐-鲍尔我知道，之前有看过他的比赛。你说的什么视频啊,就是他三弟打球的视频啊。他打球的视频被一个联盟高管夸奖了。,哇，厉害哦，还被联盟高管夸奖，那还是有两把刷子
36,对啊，我平时很少打篮球，也是偶尔看球赛。,你这看的是NBA吧，这是哪个队啊。,是的，这个是湖人的，这个是詹姆斯，我最喜欢他了。,我朋友最喜欢老鹰队了，里面的拉梅洛是他朋友的哥哥。,哇，这么酷，居然认识NBA球员，那你去看过现场吗？,没有，我朋友的哥哥在美国加利福尼亚留学认识的，还有很多厉害的球员。,我虽然对他不了解但是NBA球员就很厉害了。,就是，你除了对篮球感兴趣平时还喜欢做什么啊。,我平时在家的时候喜欢看看电影电视剧，最近我就在看庆余年。,我就看了十多集就没有看了，我觉得并不是很好看啊。
37, , ,你好。,你好啊。,你看过那场快船对太阳的比赛吗？,我没有看。不知道结果怎么样了，两个都是很强的队。,最后快船输掉了比赛，因为卡瓦伊-莱纳德换下场休息了。,可能是因为快船想冲击总冠军，所以现在舍不得用卡瓦伊-莱纳德。,现在的比赛对于总决赛来说都不算什么，毕竟赛季那么长。,对啊，现在NBA球员最害怕的就是伤病了，一受伤可以说就是已经毁了一半了。
38, , ,你好。,你好啊。,你看过那场快船对太阳的比赛吗？,我没有看。不知道结果怎么样了，两个都是很强的队。,最后快船输掉了比赛，因为卡瓦伊-莱纳德换下场休息了。,可能是因为快船想冲击总冠军，所以现在舍不得用卡瓦伊-莱纳德。,现在的比赛对于总决赛来说都不算什么，毕竟赛季那么长。,对啊，现在NBA球员最害怕的就是伤病了，一受伤就毁了一半了。
39, , ,嗨喽。,你好。,你有在关注最近的那部电影长安道嘛？,我看了一点点，还没有看完，等有时间就看。,这样呀，这部电影还是很精彩的，我觉得很值得一看。,还好吧，我也只知道一点点，也不是特别了解。,我觉得现在国产电影的名字都喜欢乱取，长安道这部电影就是。,哈哈哈，确实有一点，我刚开始还认为这部电影是一部古装电影。
40,哦？我不太了解，给我讲讲吧。,今年的亚洲小姐入围的15人中有4位硕士3位港姐，质量可是很高的，学历高，演技好，很有看头。,诶，为什么选美还需要演技呢？,这个啊，因为选美也有舞台表演的成分在里面，而且参加选美的人很多都会去出演电影电视，所以要求演技。,哦哦，那选美就是为了进入娱乐圈而创办的嘛？,不是哦，亚洲小姐由国际旅游文化发展研究会所批办的，最早是为了促进旅游而创办的。,哦哦，是这样啊。,嗯，后来才发展成娱乐广告一体的选美平台的，为娱乐圈输出了很多优秀的人才。,哦哦，怪不得我觉得好多人都在电影电视里看见过。,但是现在选美比赛的收入大头是广告，毕竟女人看着美女都在用，自己也会想用用看嘛。
41, , ,你好，现在有空吗？,可以呀，现在很晚了，正愁很无聊没人聊天，想聊什么,我也是啊，最近你有关注什么体育新闻吗？,有，我平时喜欢打篮球，经常关注篮球新闻，就是不知道你是不是也关注这些,巧了，我也经常打球啊，我昨天也才是看了女篮的世界杯决赛，中国对很遗憾的输了比赛，太可惜了,我看了比赛的，已经尽力了吧，开始打得还可以，就是后面日本队几个三分球才赢了比赛,嗯嗯，双方实力呢都不差的，我觉得中国队打的挺好的，并不像他们说的什么战术不行啊,现在就是放开心态，既然输了就找原因，开始反省，而不是一味的自责
42,你好啊。,HI，你好。,平时喜欢看电视剧嘛？会不会关注新出的一些剧。,喜欢看啊，一般吃饭的时候都会首先打开电视开始煲剧。,最近在爱奇艺推出的《三嫁惹君心》一部东方爱情轻喜剧的剧你知道吗？,没有关注新的剧，都在追《庆余年》打算把这个看完在追其他的。,这部新剧海报刚曝光的时候我觉得就还不错，风格清新唯美，非常的浪漫！,是嘛，听起来不错看来到时候又有新的剧可以追了。,《三嫁惹君心》演员阵容颜值都很高，而且故事的吸引力十足啊。,像这样的爱情轻喜剧一般都会请颜值比较高的演员来拍，比较多人看。
43, , ,你好！,你好啊！,你吃早饭了了吗？,还没呢，昨晚看足球比赛太晚了晚了。起不来了。,你也在看足球比赛吗？好巧啊，没想啊遇到个一起熬夜看比赛的。,对啊，最近就是亚冠联赛一些比赛嘛，关注点也比较高。其他比赛也没什么看的了。,昨天亚冠联赛那么精彩，你看了几场？还是看完了的？,我朋友晚上9点钟喊我看到2点钟，这是我是没想到的，今天真的难受。
44, ,你好啊,你好，你知道最近快要开赛的NBA新赛季吗？,知道啊，因为这个各球队也都召开了媒体会呢,那你知道快船队吗？,这个我不知道，能给我说说吗？,洛杉矶快船队，成立于1970年并加入NBA是一支NBA职业篮球队。,哇，感觉好棒啊，那你知道世界最著名的球星吗？,当然知道啊，其中就有我很喜欢的科比哦。之前看快乐大本营，快乐家族就去了他家，感觉他人好好哦。,是的，最近科比邀请众球星参与自己的训练营，其中就有快船的莱纳德
45, , ,你好啊。,你好。,你最近有关注NBA吗？,没有哎，但是之前莫雷的言论不是涉港了吗。,这个我也知道，莫雷太过分了，感觉他是不是不想要中国市场了哦。,中国市场这么大应该不至于不想要，反正就是想赚钱但是又不喜欢中国吧。,这种人太过分了，哎，你有喜欢的球星吗？,没有吧，我都不怎么喜欢篮球，你喜欢谁啊？
46,你最近有关注NBA吗？,没有哎，但是之前莫雷的言论不是涉港了吗。,这个我也知道，莫雷太过分了，感觉他是不是不想要中国市场了哦。,中国市场这么大应该不至于不想要，反正就是想赚钱但是又不喜欢中国吧。,这种人太过分了，哎，你有喜欢的球星吗？,没有吧，我都不怎么喜欢篮球，你喜欢谁啊？,我喜欢科比啊，很厉害。,啊，我知道他女儿哈哈，最近刚好在微博上刷到。,是啊，他女儿打篮球也很厉害，不愧是有遗传基因的。,他女儿长得好漂亮啊，感觉很像朱茵哈哈，他们说是朱茵美国分茵。
47, , ,哈喽。,你好呀。,你最近有了解过汽车芯片之类的东西吗？,没有哎，我对这个不感兴趣哈哈。,这样啊，我觉得现在的科技很发达哎，汽车也越来越智能了。,是啊，现在什么东西都在智能化，我感觉没多久之后汽车就可以完全自动驾驶了。,确实呢，现在这些汽车厂商就是在和芯片行业合作嘛就是想早日完成这些智能的版块。,是啊，感觉到时候考驾照都不是考驾照了，哈哈。
48,确实呢，现在这些汽车厂商就是在和芯片行业合作嘛就是想早日完成这些智能的版块。,是啊，感觉到时候考驾照都不是考驾照了，哈哈。,说不定自动驾驶技术成熟了之后直接就不用考驾照了呢哈哈。,也有可能啊，我昨天看了个新闻，有个女的把汽车芯片植入到自己手臂里去了，感觉好吓人哦。,哇，这个确实有点吓人啊，他这么做有什么好处吗？,没有啊，就是她走进挥一挥手就能解锁车子。,哇，那也没必要吧，现在不是有什么智能手环之类的吗，完全可以满足这个啊。,是啊，我也是说，植入自己手臂还是太夸张了。,但是现在很多外国人追求刺激，可能他们觉得很酷吧。,是啊是啊，我就想以后如果要卖车怎么办，或者以后车子坏了呢。
49, , ,你好呀！,嗨，你好。,你知道那个英国芯片ARM公司与汽车公司合作的新闻吗？,什么新闻啊，我不知道我平时都不看汽车相关的，我觉得很枯燥啊。,哈哈好吧，看来女生都不怎么喜欢，这个新闻还是挺有意义的，合作开发自动驾车的系统。,那还是很厉害，我前段时间就看到一新闻说以后的车会自动驾车，很神奇。,嗯嗯，这家ARM公司呢是不制造芯片的，但是和其他两家半导体公司合作的芯片都运用到ARM公司。,那还是很厉害的，这样的汽车市场也会发展的很快。
50, , ,哈喽啊。,你好。,你最近有关注足球这方面的消息吗？,没有哎，我对足球不是很感兴趣呢。,哦，这样啊，我还蛮喜欢足球的呢哈哈。,但是我今天看了微博有个韩国的足球运动员踢球不是故意伤人了吗？,是啊，孙兴慜，之前还觉得他踢球挺好的哎，没想到居然会故意伤人,哎，反正足球感觉很多这种事情我感觉都不懂到底是谁的问题了。
51, , ,"哈喽,你好!",你好!,"我看里手里拿着篮球,你是要去打篮球吗?","对呀,今天不是学校放假,所以就想去打会.","哦,是这样呀,其实我也是一个篮球爱好者.","恩,那要一起打一场不,我很喜欢结交这样的朋友.","可以,不过你要等我一下,因为我想热个身.","当然可以,我看你都热身,那我去热个身吧."
52,你好。,你知道扬州警方破获一起中科大博士同他人在网上销售外挂软件的案件吗？,中科大博士？这么没有法律意识的吗？还卖外挂？,是的啊，他可能缺钱吧！此次案件他们非法牟利超过300万。,那么多？他是计算机专业的吗？,不是，据了解，写代码只是他的爱好而已。,这爱好有点厉害了，如果方式的当应该就不会是现在的局面了。,是的啊。其实他有一份良好的职业，正职是在一家能源类企业上班。工资不低啊,那这个外挂是他一个人经营的吗？,不是的，这款外挂是由另外两名嫌疑人申某和段某共同经营的。
53,那么多？他是计算机专业的吗？,不是，据了解，写代码只是他的爱好而已。,这爱好有点厉害了，如果方式的当应该就不会是现在的局面了。,是的啊。其实他有一份良好的职业，正职是在一家能源类企业上班。工资不低啊,那这个外挂是他一个人经营的吗？,不是的，这款外挂是由另外两名嫌疑人申某和段某共同经营的。,那他怎么会和他人一起卖外挂啊？,他在某个游戏群中和主谋魏某认识后，对方称自己有渠道可以销售外挂，于是俩人一拍即合了,那他们的外挂针对的对象是哪些啊？,是北京畅游时代数码技术有限公司的游戏《新天龙八部》
54, , ,你好。,你好啊。,你也是去武汉的吗，也去看今年的军人运动会吗？,我去武汉上学，这不是刚放完国庆节嘛。,对哦，你们国庆放这么久啊，今天都十多号了才回去上学。,这个周没什么课，好不容易回家一次久多玩两天咯。,哈哈哈哈哈，就是，不然以后上班想玩都玩不了了，现在回去可以去看看军运会呢。,军运会，什么军运会啊，没有关注着方面我还真不知道。
55,哦哦，我对足球并不是很了解。你很了解他吗？,并不是，只是知道他的名字和职业而已。,这样啊，那你了解足球吗？,我并不喜欢足球，相反因为大学体育选的足球还有点讨厌。,你难道不是喜欢才学的吗？,不是啊，当时选课选完了，就只有足球还差人就去了。,好吧，那你踢得怎么样呢？,一般吧，只能说还能踢。,哦哦，那你最爱的体育选修课是什么呢？,其实当初想要去学拉丁的；可是去晚了。
56, , ,嗨！,你好。,你有看过最近的足球比赛吗？,没有哎，我都好久没有看比赛了。不过你可以给我说说有什么精彩点。,好啊，这场是萨尔茨堡对阵奥地利维也纳。,咦，我不是听朋友说，萨尔茨堡不是因为要参加欧冠，而冷藏了一些人嘛，这样还怎么打得过啊。,是啊，但是他门还有一个小将边锋——奥川雅也啊！,他啊，我记得他特别擅长踢那种高难度的动作。
57,你好！,你好！,你最近有关注足球奥甲比赛吗？,有阿，足球我都还比较喜欢，中超奥甲欧冠我都有看看。,那你看了萨尔茨堡PK奥地利维亚纳那一场吗？,这场还没有看，最近忙着考试就还没有来得及看呢！,好吧，那你比较支持哪个队伍？我可以简单的给你讲述下战况。,一直都很喜欢萨尔茨堡队，他们这场比赛表现咋样啊？,他们这场比赛开场不算很好，还出现的很低级的错误，比如丢球这些。,哎，那他们这局战况估计不是很好，毕竟维也纳队还是很有实力的一个队伍。
58,你好！,你好啊！,请问我可以坐你旁边吗？,当然可以啊，来坐吧！,好的，谢谢！你最近有在关注珠海WTA超级精英赛吗？,没有哎，珠海WTA超级精英赛是一种什么比赛啊？,珠海WTA超级精英赛是网球比赛哦，很多网球巨星都会参加。,好吧，我都没有看过网球这类的比赛呢！最多看看篮球比赛。,那还是毕竟可惜，其实你可以看看网球比赛的，不比篮球比赛差哦！,行吧，主要是我其实对网球也不是很感兴趣，感觉挺危险的一项运动。
