,pre_turn_1,pre_turn_2,pre_turn_3,question,answer,after_turn_1,after_turn_2,after_turn_3,after_turn_4,pre_turn_4,pre_turn_5,after_turn_5
25,ahora que él quería que Le mandara Una camiseta pero él nunca vinopara acá. _x0015__x0015_ eso fue lo que él me dijo. _x0015__x0015_,con guli cuando estaba allá? _x0015__x0015_,&+co . _x0015__x0015_,Una camiseta? _x0015__x0015_,"sí, que ustedes de de que pidieron Una camiseta cada uno . _x0015__x0015_ de jugar pelota. _x0015__x0015_",coño ese guli si es hablador. _x0015__x0015_,"yo sabía que era mentira, man@s. _x0015__x0015_ eso era mentira, no es verdad? _x0015__x0015_",no nosotros estamos formando Un equipo. _x0015__x0015_,"sí pero él me dijo a mí que, que ustedes cada uno querían camiseta._x0015__x0015_ y que so lo mandara, que ustedes dijeron . _x0015__x0015_ dile a Fernando que nos mande a cada uno Una camiseta que, yo Lepregunté que qué era lo que querían. _x0015__x0015_ y él me dijo que era Una camiseta . _x0015__x0015_ y yo Le dije, bueno tú vas a venir para acá, para que la vayamos acomparar juntos. _x0015__x0015_ me dijo sí, después me llamó Al otro día que no venía o que se la",,,
26,"bien, bien. _x0015__x0015_","y qué estás en las clases, cómo estás? _x0015__x0015_",oh . _x0015__x0015_,"tú estás estudiando, no? _x0015__x0015_","sí, estoy bien, yo estoy finalizando el primer nivel. _x0015__x0015_","ay, que chévere. _x0015__x0015_",sí. _x0015__x0015_,y has aprendido? _x0015__x0015_,"pues sí, Un poquito, Un poco, sí, ",,,
27,"sí, está comiendo. _x0015__x0015_",está comiendo? _x0015__x0015_,él se está portando bien. _x0015__x0015_,xxx que quería ponerse a rebajar? _x0015__x0015_,"sí, estaba en eso. _x0015__x0015_","y, Ella estaba tan gorda? _x0015__x0015_",no xxx  . _x0015__x0015_,o está como yo la dejé? _x0015__x0015_,"Ella está como, yo Ella aumentó unas cuantas libritas más, sí. _x0015__x0015_",,,
28,,"el, el concierto? _x0015__x0015_",,"ah, el de este año tú tienes? _x0015__x0015_","sí, bueno lo estaba viendo porque Le dieron en el especial ahorapor el televisión. _x0015__x0015_",ah.,"y lo esta-, y es . _x0015__x0015_ bello porque salen Una cantidad de artistas. _x0015__x0015_","ay. _x0015__x0015_ pues, éste te digo que está, me encanta, me encanta, me encanta. _x0015__x0015_","pues ha de ser ése, el Del banco popular de la navidad. _x0015__x0015_",,,
29,"entiendes? lo que falta son dos meses Nada más. _x0015__x0015_ allá me-, por eso yo traté de extender Un poquito más el, . _x0015__x0015_ en vez de irme a mitad de de mes, . _x0015__x0015_ me voy a final, para comenzar a principio de mes. _x0015__x0015_",sí. _x0015__x0015_,es que también Les puedo hacer Un daño sacarlas a ellas a mitad desemestre. _x0015__x0015_,"has hablado con alguien acá ya? _x0015__x0015_ con Tu jefe, Le dijiste cuan- que renunciaste  ? _x0015__x0015_","sí, ya se lo dije, ya yo  pedí autorización. _x0015__x0015_",ajá. _x0015__x0015_,"sí, ellos estaban de acuerdo, tú entiendes, . _x0015__x0015_ en vez de comenzar y qué sé yo . _x0015__x0015_ qué y me dijeron que no había ningún . _x0015__x0015_ problema, que ellos entendían, que ellos tenían que hacer unos . _x0015__x0015_ unas gestiones, unos trámites. _x0015__x0015_",mhm. _x0015__x0015_,"y entonces este me informaron que no, que no había ningún problema._x0015__x0015_",,,
30,lo que a mí me costaría son seiscientos cincuenta dólares Al mes. _x0015__x0015_,sí. _x0015__x0015_,y lo quiere compartir con alguien. _x0015__x0015_,"es muy caro, no? _x0015__x0015_","pues sí, pero  ",y qué? te encuadró? _x0015__x0015_,pues me gustó mucho porque está bien padre. _x0015__x0015_,sí. _x0015__x0015_,"está grandísi- o sea está bien amplio, está en Una . _x0015__x0015_",,,
31,"qué, Mi hi-? _x0015__x0015_",sí   ey. _x0015__x0015_ oiga tía. _x0015__x0015_,"sí, eh a mí me había dicho eso Angela, pero cómo se llama yo dijesi puede ser para yo también hacer llamadas aquí cómo se llama","pues, así que Le presentó el divorcio? _x0015__x0015_",sí. _x0015__x0015_,sí. _x0015__x0015_,mhm . _x0015__x0015_,"bueno, pero, eso es favorable para usted. _x0015__x0015_","sí, cómo no, es favorable en parte pero bueno,  porque son, hasta el día once tengo pa- pa- para xxx yo el abogado. _x0015__x0015_",,,
32,"entonces finalmente no fuimos, . _x0015__x0015_ hizo Un frío horrible, bajo cero ese día. _x0015__x0015_",mhm. _x0015__x0015_ mhm. _x0015__x0015_,"sí, pero no lo pudimos ver porque eso es repleto de gente. o sea eso es mejor verlo por televisión o, o madrugar porque estemprano por la mañana. _x0015__x0015_",no ves? _x0015__x0015_,"sí de orejeras y guante, bufanda, chaqueta, bueno, de todo. salimos ",mmh . _x0015__x0015_,"y mmh, . _x0015__x0015_  ",mhm. _x0015__x0015_," entonces esa noche fue Una gente ahí. puros bogotanos que yo no, . _x0015__x0015_ no conocía, . _x0015__x0015_",,,
33,sí. _x0015__x0015_,"ay, que chévere. _x0015__x0015_","sí, estoy bien, yo estoy finalizando el primer nivel. _x0015__x0015_",y has aprendido? _x0015__x0015_,"pues sí, Un poquito, Un poco, sí, ","bueno, bien, también aprendiendo. _x0015__x0015_","mmh, ya. _x0015__x0015_",cómo está xxx . _x0015__x0015_,Alfredo . _x0015__x0015_,,,
34,"aquí son las, las cuatro y media. _x0015__x0015_",,"eh, cogiendo Un nap@s. _x0015__x0015_",las cuatro y media? _x0015__x0015_,"sí, van a ser las cuatro y media. allá tienen que ser, qué horas? las ocho y media? _x0015__x0015_","ah, van, van a ser las ocho y media casi las nueve. _x0015__x0015_",las nueve? _x0015__x0015_,"sí, Mira no nos encontraste. _x0015__x0015_","no que estaba llamando llamé cuando sa-, cuando llegué de laiglesia. _x0015__x0015_",,,
35,"entonces divino, divino. eh, de-, de-, demasiado, los carmones están con nosotros, estábien? _x0015__x0015_",,,que bien. _x0015__x0015_ no puede ser. y la pasaron bien con ellos? _x0015__x0015_,"sí. _x0015__x0015_ divino, div-, bueno, sí. divino, divino. ","algunos problemillas, no? _x0015__x0015_ oh pero con la xxx ",,ajá. _x0015__x0015_,"y entonces &+ecs . tú sabes que se iba a ir el miércoles para, iba a terminarsupuestamente el ma-, el miércoles . _x0015__x0015_",,,
36,"porque entonces la llamaron de la escuela que estaba perdiendo díasde clase y tuvo que irse, rápido. _x0015__x0015_",que Le iba a pedir unas cosas que me trajeran. _x0015__x0015_,"sí, está allá. _x0015__x0015_",oh. _x0015__x0015_ eso fue? _x0015__x0015_,"sí, te mandamos las pastillas. _x0015__x0015_",sí? _x0015__x0015_,sí. _x0015__x0015_,y yo quería &+e . _x0015__x0015_,porque tienes que tomarte tres potes por lo menos. _x0015__x0015_,,,
37,dile a Freddy que está llamando Su prima. _x0015__x0015_,"ah, Mira, ve. ",yo . _x0015__x0015_ vamos acá a Un . _x0015__x0015_ sitio peruano. _x0015__x0015_ ca- a escuchar música criolla. _x0015__x0015_ va a venir Elvira. _x0015__x0015_,dim- ah y está Freddy? _x0015__x0015_,"sí, es que está afuera, ya ya estábamos saliendo. llámalo a . _x0015__x0015_","ah, ya. _x0015__x0015_","oye, qué tal? Tu papi? _x0015__x0015_","bien, acá está. _x0015__x0015_","oh, qué bien, qué gusto de . _x0015__x0015_",,,
38," ellos van a venir el . _x0015__x0015_   antes de la boda, el miércoles  diecinueve, por ahí. ","ya,  ","pero, sólo estoy esperando a ver,  ","es, la boda es el veinticuatro, no? ",sí.,"ah, bueno, sí.  que voy a, yo voy a . _x0015__x0015_","o p- miércoles veinte, por ahí. sí. _x0015__x0015_","oh, yeah@s  si voy a ver cómo l- cómo Le hago para llegar antes, también. _x0015__x0015_",,,,
39,pues ahí moviéndose bien despacio.,Mira y cómo está la tesis? _x0015__x0015_,,pero no has hablado con los maestros ni Nada? _x0015__x0015_,bueno sí o sea yo pues la última vez que hablé con él fue ya hace ._x0015__x0015_,como en tres semanas. _x0015__x0015_,"hablé con, hablé con él pues la semana pasada y estaba enfogonadopues pues pues no . _x0015__x0015_","tú estabas, tú estabas molesto o él? _x0015__x0015_",yo. _x0015__x0015_,,,
40,me pagan diez dólares.,"qu-, qué, qué, qué? _x0015__x0015_",y me pagan diez dólares. _x0015__x0015_,te pagan? _x0015__x0015_,sí.,"cómo así? no entiendo. hace las llamadas, y encima de todo Le pagan. _x0015__x0015_",sí.,"ay, o-, Le, cómo así? cuéntame. cuéntame. _x0015__x0015_"," pero sólo es Una llamada. pues yo pen-, sólo es Una llamada, entonces me la gasté en ti. ",,,
41,"no, Norma lo I-, lo lo llevó. _x0015__x0015_",,sí. _x0015__x0015_,Norma lo llevó ya? _x0015__x0015_,"lo sí, lo llevó, entonces este él quería que yo fuera pero para . _x0015__x0015_ ",sí. _x0015__x0015_,"tú sabes todavía estoy Un poquit-, tengo Un poco de miedo de guiar. _x0015__x0015_",sí. _x0015__x0015_,y entonces pues no me atrevo a soltarme. _x0015__x0015_,,,
42,oh . _x0015__x0015_,estoy con Una gripe terrible. _x0015__x0015_,qué pasó? _x0015__x0015_,no notas Mi voz media rara? _x0015__x0015_,"sí, he pensado que era el alcohol. _x0015__x0015_","bueno, también, no no no Nada que ver ",,este qué te iba a decir? ah resulta que . _x0015__x0015_,,,,
43,"ay, dios mío. _x0015__x0015_ ah pero no, pero no te apures que yo te la voy a poner mañana. _x0015__x0015_","no. y ayer y, y hoy andaba buscando y no hallé para comprarlas. _x0015__x0015_",mhm. no? _x0015__x0015_,"no la n-, Le llegó lo que yo mandé  ? _x0015__x0015_",sí. _x0015__x0015_,pero no . _x0015__x0015_ ajá. _x0015__x0015_,mhm. _x0015__x0015_,"oh, esto se xxx, con eso fui a la clínica, volví, sí. _x0015__x0015_",ah pues está bien.,,,
44,dile que está loco. _x0015__x0015_,pero a mí se me hace más difícil mandarla que él venga a comprarlaconmigo . _x0015__x0015_ porque que yo no puedo salir Del trabajo casi . _x0015__x0015_,eng . _x0015__x0015_,era mentira? _x0015__x0015_,sí. _x0015__x0015_,eh . _x0015__x0015_,claro. _x0015__x0015_,oh . _x0015__x0015_ fue él que Le dijo que se lo iba a llevar a ustedes? _x0015__x0015_,"no, él dijo di- dizque Tu ibas a mandar a- todo de deporte . _x0015__x0015_",,,
45,Ella se casó Ella y todo. _x0015__x0015_,sí. _x0015__x0015_,quién matica Un cuerón se ha dado te acuerdas de Vanessa . _x0015__x0015_,se casó Vanessa? _x0015__x0015_,se sí se casó Ella se fue se fue,ajá Mira que tú estás much- aló. _x0015__x0015_ aló? _x0015__x0015_,aló? _x0015__x0015_,todas esas mujeres viven por Tu casa no verdad? _x0015__x0015_,sí dime  . _x0015__x0015_,,,
46,no pues Nada más voy a ver como sigue. _x0015__x0015_,"ay, ay, ay, qué bárbaro. ","y este, no pues que lo fui a apapachar ",sigue mejor? _x0015__x0015_,"sí ahí ya, sí Al menos se puede levantar sólo ",okey. _x0015__x0015_,pero,"hijos, y qué dice, este, Francisco? _x0015__x0015_",quebramos. _x0015__x0015_,,,
47,mmh. _x0015__x0015_,no. _x0015__x0015_ no. _x0015__x0015_,"eso, claro, sabes que siempre va a quedar limpio. _x0015__x0015_","mmh, papi, este . _x0015__x0015_ todo bien con la carta de Mi tía? _x0015__x0015_",sí pues. _x0015__x0015_,encontraron todas las cartas de Mi tía Sabina? _x0015__x0015_,"sí, dos cartas más ha habido ahí, . _x0015__x0015_ que son para Rosa y arcadio. _x0015__x0015_","oh okey. _x0015__x0015_ okey, porque Ella me estaba diciendo, dice mmh, . _x0015__x0015_ hoy día llamó y me dijo, . _x0015__x0015_ si es que había llamado. _x0015__x0015_",y? _x0015__x0015_,,,
48,es que  es curioso que tuve que cortar Una llamadaque tenía para saludarte a ti y esa llamada era de mirándola. _x0015__x0015_,no Le ponen nombres de quién dijo qué.,ah.,mhm. _x0015__x0015_ ajá. _x0015__x0015_ no me digas?,"sí.  e-, ajá.  este, ",,,,y bill estaba hablando con él cuando tú llamaste.,,,
49,eh? _x0015__x0015_,y él sabe? _x0015__x0015_,"no pues es que William cocina, él, para él. _x0015__x0015_",Él sabe cocinar?,"sí, el cocina buenísimo. _x0015__x0015_ mejor que nosotras, cocina él. ",no me digas? _x0015__x0015_,"que sí, te digo por qué? porque cuando él hace la comida, huele muchísimo la comida que élhace . _x0015__x0015_ y si huele es porque está bueno. ","es verd-, ajá, es verdad. ",,,,
50,"dice, mándame Una muñeca grande como la que me dijiste en el video._x0015__x0015_",pero qué te dijo de la niña? _x0015__x0015_,ay Mi hija Un montón de cosas. _x0015__x0015_,te decía. _x0015__x0015_ pero la niña te habló? _x0015__x0015_,sí ah. _x0015__x0015_,ah mentira. _x0015__x0015_,ay muchacha no se se soltó. _x0015__x0015_,qué te decía Gabriel cuéntame. _x0015__x0015_,dice mándame Una muñeca grande.,,,
51,"entonces te llamé, este, ahorita casi como media hora. _x0015__x0015_",ajá. _x0015__x0015_,"no que estaba llamando llamé cuando sa-, cuando llegué de laiglesia. _x0015__x0015_",hace media hora llamaste? _x0015__x0015_,"sí, hace media hora llamé. _x0015__x0015_",pues no es el que el teléfono no suena parece que está dañado desdela tormenta eléctrica que hubo aquí. _x0015__x0015_,oh. _x0015__x0015_,que cayó rayos y centellas.,"pero ustedes no, no Han salido de ahí? _x0015__x0015_",,,
52,sí pues. _x0015__x0015_,"mmh, papi, este . _x0015__x0015_ todo bien con la carta de Mi tía? _x0015__x0015_",mmh. _x0015__x0015_,encontraron todas las cartas de Mi tía Sabina? _x0015__x0015_,"sí, dos cartas más ha habido ahí, . _x0015__x0015_ que son para Rosa y arcadio. _x0015__x0015_","oh okey. _x0015__x0015_ okey, porque Ella me estaba diciendo, dice mmh, . _x0015__x0015_ hoy día llamó y me dijo, . _x0015__x0015_ si es que había llamado. _x0015__x0015_",y? _x0015__x0015_,"y yo Le dije, sí, ya lo tienen ya, &+car . _x0015__x0015_ porque dice que no lo vayan a mandar por . _x0015__x0015_ correo porque . _x0015__x0015_ ahí hay dinero. _x0015__x0015_","y sí eh me habías dado a mí ese . _x0015__x0015_ día yo lo ya lo mand- ya lo &+mandam . _x0015__x0015_ porque doña Rosa me ha dado Una carta y ya lo mandé por . _x0015__x0015_ juntos con Mi carta. _x0015__x0015_ ya, pues lo sabíamos, yo lo he sabido. _x0015__x0015_",,,
53,sí?,porque tienes que tomarte tres potes por lo menos. _x0015__x0015_,y yo quería &+e . _x0015__x0015_,"pero te las puedes ir tomando Al paso, tú ves? _x0015__x0015_",sí? _x0015__x0015_,sí. _x0015__x0015_,y yo pensé . _x0015__x0015_,"y cómo están allá, están bien? _x0015__x0015_","con mucha nieve, mucha &+n . _x0015__x0015_",,,
54,aló? _x0015__x0015_,ajá Mira que tú estás much- aló. _x0015__x0015_ aló? _x0015__x0015_,se sí se casó Ella se fue se fue,todas esas mujeres viven por Tu casa no verdad? _x0015__x0015_,sí dime  . _x0015__x0015_,eh? _x0015__x0015_,xxx se da Un cuerón ahí  . _x0015__x0015_ pero Ella se apuntó en otro colegio  . _x0015__x0015_,"bueno, eh? _x0015__x0015_",Ella se apuntó en otro colegio. _x0015__x0015_,,,
55,mañana llega para acá entonces.,"yo decía, allá debe de estar Lidia, Gerard, . _x0015__x0015_",sí.,xxx  . _x0015__x0015_ sí? _x0015__x0015_,sí. _x0015__x0015_,"ay, qué bueno oírte. _x0015__x0015_",cómo están ustedes? _x0015__x0015_,"ay, bien, gracias a dios, muy bien. _x0015__x0015_",sí? _x0015__x0015_,,,
56,"sí, el cocina buenísimo. _x0015__x0015_ mejor que nosotras, cocina él. ",Él sabe cocinar?,eh? _x0015__x0015_,no me digas? _x0015__x0015_,"que sí, te digo por qué? porque cuando él hace la comida, huele muchísimo la comida que élhace . _x0015__x0015_ y si huele es porque está bueno. ","es verd-, ajá, es verdad. ",,"ay, dios, ah, pero yo no sabía eso, Mira. _x0015__x0015_","ay, Mi hija él se a vuelto Un especialista en la cocina. ",,,
57,y . _x0015__x0015_ están todos bien? _x0015__x0015_,ah pues está bien.,"oh, esto se xxx, con eso fui a la clínica, volví, sí. _x0015__x0015_",todos estamos bien aquí. y allá están todos bien? _x0015__x0015_,sí ahí viendo novelas estamos.  eh? _x0015__x0015_,"y qué te dijeron a t-, Mira y qué te dijeron de, de, deeso Del pecho? _x0015__x0015_",,"de, de . _x0015__x0015_","sí el me dijo que, que no había problema. _x0015__x0015_",,,
58,"no, él dijo di- dizque Tu ibas a mandar a- todo de deporte . _x0015__x0015_",oh . _x0015__x0015_ fue él que Le dijo que se lo iba a llevar a ustedes? _x0015__x0015_,claro. _x0015__x0015_,dijo él? _x0015__x0015_,sí. _x0015__x0015_,"bueno, tú estás formando Un equipo? _x0015__x0015_","sí, yo estoy xxx aquí. _x0015__x0015_","sí yo sé, ése no va a vivir para allá . _x0015__x0015_",,,,
59,está todo bien está todo bien tía,regio y este Omar,,estás estudiando? _x0015__x0015_,sí sí en metro- en el metropolitan community college@s comosiempre. _x0015__x0015_,ah qué bueno me alegro . _x0015__x0015_,,sí. _x0015__x0015_,,,,
