question,answer,label
इस बारे में भी सोचें- क्या हम विकलांग के जगह दिव्यांग शब्द का प्रयोग कर सकते हैं?,"जी का ये प्रस्ताव सामाजिक दृष्टिकोण के पहलू से आदर्श साबित होगा, हमारी अंतरात्मा और व्यवहार में परिवर्तन से ही बदलाव संभव है |",Yes
जनपद झांसी में AB+ ब्लड की जरूरत है | क्या आप मे से कोई साथी रक्तदान कर एक जिंदगी बचाना चाहेंगे ?,आशीष जी में अभी झांसी में हूं मेरे मित्र का ब्लड ग्रुप AB प्लस है कॉल डिटेल भेजिए मैं 15 मिनट में भेजता हूं,Yes
क्या आप विधायक संजय शर्मा जी के पांच वर्षो में किये गए विकास कार्यो से संतुष्ट है ?,संजय शर्मा जी के विकास कार्यों से संतुष्ट बहुत बहुत संतुष्ट हैं,Yes
क्या आप अपने नाम का हिन्दी अर्थ जानते हैं ?,जी इसका हिंदी में अर्थ तो बता दो,Yes
"बिना अदालती आदेश के किसी को सजा देना कानून नहीं क्या यह ""न्याय संगत"" है?",क्या बिना न्यायालय के आदेश के दंगा मचाना सही है।,Yes
सिंघु बॉर्डर पर एक युवक का पहले हाथ काटा गया फिर उसकी बेरहमी से हत्या कर दी गई। इन तस्वीर को देखने के बाद क्या आप अब भी मानेंगे कि ये  किसान हैं?,"बधाई हो हमारे यशश्वी पीएम श्री मोदी जी के नेतृत्व में हमारा देश भुखमरी में नेपाल,पाकिस्तान,बांग्लादेश से भी पीछे हो गया 
🙏🏻",Yes
"सरकार को ""आरक्षण"" ही खत्म कर देना चाहिए क्या आप सहमत है ?","हां साथ में मंदिरो का आरक्षण, कॉलेजियम व्यवस्था और जाति भी खत्म हो तो सहमत है।",Yes
क्या आप भी मेरी तरह मानते है कि भक्त जाहिल होते है?,बरलोन चाहिए तो बोलना सही मै चमचो की सुझी पडी होगी आज,Yes
"लालू प्रसाद जी को बिहार की नहीं बल्कि अपने ""परिवार"" की चिंता रहती है. उनके लिए यादव सिर्फ ""वोट"" भर है. क्या आप इस बात से सहमत हैं ?","यादव समाज से सहानुभूति वोट लेकर उन्हें ठगने का काम लालू जी ने किया है। अधिकतर यादव अशिक्षित है, इसलिए इतने दिनों से मुर्ख बनाया गया।",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",जी देश और देश के विकास के लिए जरूरी है। 🙏 अगर किसी को तकलिफ है तो वो ही कोई उपाएय बता दे।,Yes
केजरीवाल अब दिल्ली में किस नए “घोटाले” की तैयारी कर रहा क्या आप बता सकते हैं ?,"जी अब सिर्फ नाली,नाला ,लेट्रिन घोटाला बचा है बांकी तो सारे घोटाले कर चुके हैं सड़ जी",Yes
इस बारे में भी सोचें- क्या हम विकलांग के जगह दिव्यांग शब्द का प्रयोग कर सकते हैं?,"देशवासियों से अनुरोध मोदी जी ने देश के विकास के लिये जो 
 हवन-यज्ञ का आरम्भ किया उसमे सभी  आहुति दे कर सफल बनाये 
- धन्यवाद -",Yes
क्या यह सच है कि मजार दरगाह और पक्का कब्रिस्तान हराम है इसीलिए अरब में एक भी मजार दरगाह और पक्का कब्रिस्तान नहीं है?,उपाध्याय जी ये land जेहाद है - जब इस्लाम में बूत पूजा हराम है फिर ये मज़ारें क्यूँ दरगाह क्यू 😳🫣,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",करते तो हैं लेकिन अभी भी इसमें और सख्ती की जरूरत है क्योंकि लोगों को तब जाकर सही तरह से समझ में आता है ।।,Yes
"अभी एक ऑटो रिक्शा वाले को खचाखच सवारियाँ भरकर ले जाते देखा तो मैंने कहा, भाई आपको पता नहीं है क्या आप ऑटो रिक्शा में एक ज़्यादा सवारी नहीं बिठा सकते?",मोदी जी की वीदाई तय.मजदूर करेंगे चुनाव में वीदाई,Yes
"अमित शाह जी,क्या आप वादा करेंगे की जो लोग 'जय' नहीं बोलेंगे, उनके साथ कोई Political Alliance नहीं होगा और अगर हुआ है, तो क्या आप तोड़ देंगे?","हाँ तोड़ देंगे, 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

.
तेरी गांड।",Yes
"सलमान_खान की अगली फ़िल्म ""कभी ईद कभी दिवाली” आ रही है, क्या आप बहिष्कार करेंगे?",हॉ जी ।सिधी सी बात  अल्पसंख्यक है तब इतना तेवर है ।,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,हम तो देश और मोदी जी के साथ हैं,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",बिल्कुल जय हो योगी सरकार की जय हो महाराज जी की,Yes
क्या आप शेर कहते हैं?,"लंबा सफर ज़रूर है
पर हममें भी फितूर है",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","हाँ।
देश को इसी बहुत जरूरत है वरना सिमटती खेती व बढ़ती आवास भूमि व जनसंख्या के साथ सिमटती नौकरी....
भूखे मरने की नौबत",Yes
CM योगी के 'दो लड़कों की दंगाई जोड़ी' वाले बयान से क्या आप सहमत हैं?,"हाँ जी, सहमत हैं।
जय श्री राम",Yes
लाउडस्पीकर के जवाब में मस्जिदों के सामने हनुमान चालीसा पढ़ने के राज ठाकरे के एलान से क्या आप सहमत हैं?,बिल्कुल सहमत हूं जी जय हो राज साहब की,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","हाँ । ये सुझाव 
2 से ज्यादा वालों का राशन बंद 
3 से ज्यादा वालों का राशन +voting बंद",Yes
क्या आप बेरोजगार हैं ?,नेकी करो पूंछ पूंछ क्या बात है पाण्डेय जी,Yes
"अभी एक ऑटो रिक्शा वाले को खचाखच सवारियाँ भरकर ले जाते देखा तो मैंने कहा, भाई आपको पता नहीं है क्या आप ऑटो रिक्शा में एक ज़्यादा सवारी नहीं बिठा सकते?",ये भी सही है जब पढ़ी लिखी नकली गांधी बना सकती है तो ये तो लोकल बंदा है 🤪🙏,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,हाँ तैयार है लेकिन कई वर्कर/स्टूडेंट्स अभी भी सूरत/कोटा जैसी सिटी में फसे हुए हैं एट लीस्ट उन्हें भी घर पहुँचा दो।,Yes
क्या आप दिन-दहाड़े जनादेश का निर्मम बलात्कार करने वाले मैंडेट रेपिस्ट का मानसिक उपचार करने वाले किसी देशभक्त मनोचिकित्सक को जानते है?,लालू जी जो लिखा है उसे अपनी आवाज में बोल सकते है,Yes
क्या आप शेर कहते हैं?,जी। कहता तो मुसलसल हूं पर शेर कभी कभी होता है।,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","हा जरूर ,और up ats को हार्दिक आभार जिसकी वजह से आतंकवादियो का मिसन रदद् हो गया 🙏🏼🙏🏼🙏🏼🇮🇳🇮🇳🇮🇳🇮🇳👌",Yes
लाउडस्पीकर के जवाब में मस्जिदों के सामने हनुमान चालीसा पढ़ने के राज ठाकरे के एलान से क्या आप सहमत हैं?,ये सब के सब चुनावी हिंदू हैं। 2019 लोक सभा से पहले मोदी जी के खिलाफ भी बहुत बोल रहा था। सत्ता के लिए हाजी अली भी जाएगा ये।,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",हाँ जनसंख्या नीति राष्ट्रीय स्तर पर लागू होनी चाहिए,Yes
"क्या आप जानते हैं, कि राजा दशरथ जी के पिता श्री का नाम क्या था ?","राजा अज 🌹🌹
राजा दशरथ जी के पिता थे।🙏",Yes
क्या आप भी मेरी तरह मानते है कि भक्त जाहिल होते है?,"समझदार जी, आप कहना चाहते हो के, देश के वो सभी लोग जाहिल है, जिन्होंने 303 सीटें दिलवाई है, मोदी जी को।
और कुछ ही खास लोग, समझदार है।",Yes
श्रीकृष्ण जन्मभूमि अवैध मस्जिद कब्जा मुक्त हो - -क्या आप सहमत हैं?,हां | ना की सिर्फ मथुरा बल्की काशीविश्वनाथ; तेजोमहालय ( ताजमहल) और तमाम अतिक्रमित मंदिर मुक्त हो |,Yes
क्या आप शेर कहते हैं?,"बाद जुड़ने के तुमसे सही निकले सब अंदाज़े हमारे 
क़रीब रहने से तो अच्छा था कोसो दूर रहते तुम्हारे",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",100% समर्थन करते हैं..इस नीति को सम्पूर्ण देश में लागू होने चाहिए..,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,"जान है तो जहान है
जिंदगी जी लेंगे कैसे भी",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",हां मैं योगी सरकार द्वारा लागू किया जाने वाला जनसंख्या नियंत्रण कानून का समर्थन करता हूं... जयहिंद 🙏🇮🇳,Yes
आरक्षण ने हिन्दू धर्म में जातिवाद को बढ़ावा दिया है क्या आप सहमत है ?,"बात तो सही है, लेकिन इसकी शुरुआत मंदिर से होनी चाहिए और इसमें पुजारी उसे नियुक्त किया जाना चाहिए जो पढे लिखे सबसे अछूत से हो!",Yes
श्रीकृष्ण जन्मभूमि अवैध मस्जिद कब्जा मुक्त हो - -क्या आप सहमत हैं?,जी हाँ हम पूरी तरह सहमत है जय श्री राम 💐,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","जी हाँ✅✅ पुरजोर समर्थन करता हूँ  , और इसका विरोध करने वालों राष्ट्र द्रोही मानता हूँ जय हिन्द
्",Yes
"देश, धर्म और समाज के लिए लड़ना आसान तो नहीं है, पर कुछ कर्ज़ भी तो है समाज के प्रति जो चुकाने है। क्या आप भी चुकाना चाहेंगे?","जय श्री राधे राधे
गुरु जी आप के श्री चरणों में कोटि कोटि नमन
जी चाहते हैं
राधे राधे जी",Yes
क्या यह ख़बर सही है ?,हां चचा खबर सही है तेरा मूंह काला हो गया,Yes
इस बारे में भी सोचें- क्या हम विकलांग के जगह दिव्यांग शब्द का प्रयोग कर सकते हैं?,"माननीय प्रधानमंत्री जी, अमरीकी राष्ट्रपति द्वारा आपकी तारीफ़ करना बहुत ही सुखद है।",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","जी बिल्कुल..
और सभी को करना चाहिए",Yes
सिंघु बॉर्डर पर एक युवक का पहले हाथ काटा गया फिर उसकी बेरहमी से हत्या कर दी गई। इन तस्वीर को देखने के बाद क्या आप अब भी मानेंगे कि ये  किसान हैं?,पहले गांधी जी का पूरा नाम याद कर।,Yes
"सरकार को ""आरक्षण"" ही खत्म कर देना चाहिए क्या आप सहमत है ?","हां मंदिरों से,कानून बना कर श्राद्ध में ब्राह्मणों को खिलाने से, मरनी पर दान देने से",Yes
"ट्रेन की आपसी बहस में एक सख़्स ने कहा ""देश में शासक नही प्रचारक राज कर रहा है"" क्या हम प्रधान सेवक से शासक और प्रचारक के दौर में आ गये?",अगर शासक केजरी की तरह हो तो प्रचारक ही सही है,Yes
"सरकार को ""आरक्षण"" ही खत्म कर देना चाहिए क्या आप सहमत है ?","हां बिल्कुल आरक्षण खत्म कर देना चाहिए
पर शुरुआत मंदिरों और मठों से करते है
हम तैयार हैं क्या आप सहवर्ण तैयार हो",Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,मैडम जी जान है तो जहाँ है,Yes
क्या यह चुनावी नतीजे 'सामाजिक न्याय की राजनीति' का अंत है ?,नतीजे तो इसी तरफ इशारा कर रहे है सर जी।,Yes
प्रधानमंत्री जी अगर हम आपको गुलदस्ते की जगह किताब दे तो क्या आप हमें अच्छे दिन दे देंगे ?,हा दे दो किताब हम वूस किताब में तुमारे और तुमारे अध्यक्ष के कारनामे लिखेंगे और बेचेंगे !!,Yes
क्या आप दिन-दहाड़े जनादेश का निर्मम बलात्कार करने वाले मैंडेट रेपिस्ट का मानसिक उपचार करने वाले किसी देशभक्त मनोचिकित्सक को जानते है?,जी सीबीआई और ईडी जो आपका इलाज कर रहे है,Yes
"देश, धर्म और समाज के लिए लड़ना आसान तो नहीं है, पर कुछ कर्ज़ भी तो है समाज के प्रति जो चुकाने है। क्या आप भी चुकाना चाहेंगे?","जय श्री राधे, 
गुरु जी आप मार्ग दर्शन करें, हमं अनुशरण करेंगे, 
जय राधे राधे",Yes
"बिहार के चुनाव परिणाम के बाद अब आप एक नया बिहार देखेंगे, क्या आप सहमत हैं ?",मई भी बोल रहा हु .yes 🇮🇳🚩🙏,Yes
"हिंदी में ट्वीट करने से फ़ालोअर्ज़ बड़ते नहीं हे , ऐसा सुना हे ! क्या यह सही हे , यहाँ भी अंग्रेज़ी का दबदबा हे ?",सही कहा भाई। मैं भी भुक्त भोगी हूँ 😢,Yes
"सलमान_खान की अगली फ़िल्म ""कभी ईद कभी दिवाली” आ रही है, क्या आप बहिष्कार करेंगे?",जी mam bilkul बहिष्कार करेंगे जय श्री राम 🙏🙏,Yes
कोरोना को हराने के लिए मास्क पहनने और सोशल डिस्टेंसिंग मेंटेन करने जैसी ज़िम्मेदारी क्या आप ईमानदारी से निभा रहे हैं?,सिर्फ 3% लोग ही सही बोले है ये हम और आप सब जानते हैं,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",जी हाँ बढ़ती जनसंख्या के मद्देनजर उत्तर प्रदेश में जनसंख्या नियंत्रण कानून अति आवश्यक है हम सभी को इसका समर्थन करना चाहिए ।,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,हाँ हम तैयार हैं मैडम जान है तो जहान है,Yes
"बिहार के चुनाव परिणाम के बाद अब आप एक नया बिहार देखेंगे, क्या आप सहमत हैं ?",जी - बिल्कुल सही कहाँ मैडम आपने  ।,Yes
क्या आप अपने नाम का हिन्दी अर्थ जानते हैं ?,अभिषेक का सही अर्थ क्या होता है कोई भाई बताए,Yes
कोरोना को हराने के लिए मास्क पहनने और सोशल डिस्टेंसिंग मेंटेन करने जैसी ज़िम्मेदारी क्या आप ईमानदारी से निभा रहे हैं?,क्या ... 100% कर रहे हो ना .....,Yes
सिंघु बॉर्डर पर एक युवक का पहले हाथ काटा गया फिर उसकी बेरहमी से हत्या कर दी गई। इन तस्वीर को देखने के बाद क्या आप अब भी मानेंगे कि ये  किसान हैं?,ये निश्चित रूप से नए तालिबान हैं।,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,हाँ मैं तैयार हूँ लौकडौन बढाने के लिए,Yes
क्या आप दिन-दहाड़े जनादेश का निर्मम बलात्कार करने वाले मैंडेट रेपिस्ट का मानसिक उपचार करने वाले किसी देशभक्त मनोचिकित्सक को जानते है?,लालू जी पहले आप अपने कपुत का इलाज कराएं आज कल बहुत अंट संट बोल रहा है,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","जी हाँ, बिल्कुल। यह बहुत जरूरी है।",Yes
रविश कुमार ने ndtv  में रहते हुए अपना यूट्यूब चैनल खोला... क्या यह सही बात है ?,"सवाल तो जायज़ है 
लेकिन चैनल की पॉलिसी क्या है ये जानने के बाद ही कुछ कहना सही होगा ।",Yes
क्या हम टैक्स देना बंद कर दे?,सही बताना आज तक कितना टैक्स दिया है  उत्तर के इंतज़ार में ।,Yes
"सरकार को ""आरक्षण"" ही खत्म कर देना चाहिए क्या आप सहमत है ?",हां बिलकुल 10% ews आरक्षण खत्म कर देना चाहिए,Yes
क्या आप शेर कहते हैं?,"हर रोज नया दर्द लिए रहते हैं,
जी हां,हम शेर ही तो कहते हैं।",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","हाँ, समर्थन करते हैं।
कानून और भी कठोर हों। कुछ चीन जैसा।",Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",बिल्कुल सही किया योगी जी I proud cm in india,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?","जी हां 
ये हमारे आने वाले दिनों के लिए बहुत सुखद होगा।

सराहनीय निर्णय..।",Yes
"सरकार को ""आरक्षण"" ही खत्म कर देना चाहिए क्या आप सहमत है ?",अल्पसंख्यक तिवारी जी आप के बात से मैं सहमत हू,Yes
इस बारे में भी सोचें- क्या हम विकलांग के जगह दिव्यांग शब्द का प्रयोग कर सकते हैं?,सही सोच है सर..इसपे अमल करिये ☺,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,बिल्कुल हम तो तैयार है।मोदी जी से आग्रह है। कि lockdown और आगे बढ़ने की कृपा करें।।।।।।,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",हा युपी की जनसंख्या निति सही है,Yes
"सलमान_खान की अगली फ़िल्म ""कभी ईद कभी दिवाली” आ रही है, क्या आप बहिष्कार करेंगे?",जी बिल्कुल करेंगे और दूसरे लोगों से भी करवायेंगे।,Yes
क्या आप बेरोजगार हैं ?,अपने चैनल में कुछ व्यवस्था करवा दीजिये सर जी,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",अभी ड्राफ़्ट आया है जी और सुप्रीम कोर्ट में ख़ारिज हो जावेगा ।,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,जैसा आप बोलेंगे हम तो वैसा मानेंगे मैडम जी,Yes
क्या आप ब्रह्मास्त्र देखने जाएंगे ?,हा जरूर जाएंगे ..... टेलीग्राम में (Free),Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",बिल्कुल समर्थन करते हैं बाबा जो करेंगे सब सही करेंगे बाबा योगी आदित्यनाथ की जय हो,Yes
क्या आप कल्पना कर सकते हैं कि अविनाश किसी नेता का बेटा होता और अस्पताल डेंगू के इलाज से मना करते?,और इस से बड़ी दुःख की बात अंतिम संस्कार भी करना आज कल और मुश्किल मोदी जी शमसान घाट जो बंद करके बैठे है,Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,रुबिका जी यह जरूरी है पता है कि मध्यम वर्ग पर इसका बहुत असर होगा पर देश हित मे अभी लॉक डाउन आगे और होना जरूरी है,Yes
"क्या आप भी  'योगी सरकार""  की जनसंख्या नीति का समर्थन करते है ?",पूर्ण समर्थन है योगी जी का जनसंख्या कानून का,Yes
क्या आप अपने नाम का हिन्दी अर्थ जानते हैं ?,हां जरूर...देवेन्द्र ..देवो के राजा.. देवराज इंद्र,Yes
लाउडस्पीकर के जवाब में मस्जिदों के सामने हनुमान चालीसा पढ़ने के राज ठाकरे के एलान से क्या आप सहमत हैं?,राज ठाकरे जी के एलान से पूरी तरह से सहमत हूं।,Yes
क्या यह सच नहीं कि अयोध्या मामले का समाधान इसलिए नहीं हो पा रहा क्यूंकि जब भी राम जन्मभूमि का मामला मा. उच्चतम न्यायालय में जाता है तो कांग्रेस अनावश्यक देरी और व्यवधान करने के लिए वकीलों की फ़ौज खड़ी कर देती है?,"सत्य तो राम नाम है योगी जी ,जो मंदिर 
बनवायेगे , बार बार सत्ता पायेंगे,जो उल्लू 
बनायेंगे वो खुद उल्लू बन ,राम राम चिल्लाएंगे
जय सियाराम ।।।",Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,"जी जरूर ,  इस वक्त यही देश के हित में है.",Yes
"बिहार के चुनाव परिणाम के बाद अब आप एक नया बिहार देखेंगे, क्या आप सहमत हैं ?","हां,,,
यूपी और बिहार को संयुक्त प्रदेश बना दिया जाए और,,
 बिहार भी योगी जी को देदो,
फिर बिहार का उद्धार तय है।☺️",Yes
क्या आप सब तैयार हैं लॉकडाउन की अवधि बढ़ाने को लेकर?,हाँ झूंटी खबरे सुनने को तैयार हैं,Yes
"बल्ब का आविष्कार एडिसन ने किया, लेकिन क्या आप जानते हैं कि फीता काटकर इसका उद्घाटन किसने किया?",आपको हमारे मोई जी ही होंगे 😀😀,Yes
मुझे किसी ने बताया है कि BHU कुलपति जी Fiji में जब थे तब उन पर sexual harassment का प्रकरण चला था और उन्हें दोषी पाया गया था। क्या यह सच है?,हां सही है वो भी तेरी तरह कैप्सूल का सेवन करते हैं,Yes
