,question,answer,label
596,xiaomi redmi 9c açma kapama güç tuşu değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi 9c açma kapama güç tuşu değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
611,madden nfl 22 türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
639,fop mirchev a.g.'de kablosuz ağ var mı?,"hayır, fop mirchev a.g. otobüslerinde kablosuz ağ yok! endişe etmeyin, otobüsteki zamanınızı ihtiyacınız olan uykuyu uyumak için kullanabilirsiniz! ayrıca en sevdiğiniz filmleri, tv dizilerini ve sesli kitapları indirebilir ya da iyi bir kitap getirebilirsiniz.",no
641,last year: the nightmare türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
728,bustrans jm otobüs biletinizi yazdırmak gerekiyor mu?,"hayır, biletinizi yazdırmanız gerekmez. akıllı telefonunuzdaki e-biletinizi ve geçerli bir fotoğraflı kimliği göstererek bustrans jm otobüslerine binebilirsiniz. busbud'dan bilet aldığınız zaman e-biletiniz size e-postayla gönderilecektir.",no
736,i̇çel mersin kurumsal web sitesi tasarımı yaptırdığımda her yıl aynı ücreti mi ödeyeceğim?,"hayır, her yıl sadece domain, hosting gibi web sitesini oluşturan ana birimlerin uzatılması ödenmektedir. ",no
745,xiaomi redmi note 8 pro açma kapama güç tuşu değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi note 8 pro açma kapama güç tuşu değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
747,flaming hot oynamak için indirme yapmalı mıyım?,"hayır, flaming hot oynamak için indirme işlemi yapmanıza gerek yoktur. tarayıcılar üzerinden sorunsuz şekilde flaming hot oynayabilirsiniz.",no
770,xiaomi redmi note 8 pro ön cam değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi note 8 pro ön cam değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
775,courtyard by marriott toledo maumee/arrowhead içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında hollywood casino kumarhanesi (22 dk. araçla gidiş mesafesi) bulunur. ",no
797,aynı yıl içinde birden fazla cihaz için imei kayıt işlemi yapabilir miyim?,hayir. 2 yıl içinde sadece 1 kez cihaz kayıt işlemi yapabilirsiniz.,no
812,b&b hotel la rochelle centre içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino barriere de la rochelle (16 dk. araçla gidiş mesafesi) bulunur. ",no
828,rose & crown hotel içinde kumarhane var mı? ,"hayır, bu motel kumarhane içermez. ancak yakında crown perth (16 dk. araçla gidiş mesafesi) bulunur. ",no
835,huawei p20 ekran değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. huawei p20 ekran değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
852,iphone 6 şebeke entegre değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone 6 şebeke entegre değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
860,"melissa garden apart hotel, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
893,days inn by wyndham grants içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında sky city casino kumarhanesi (17 dk. araçla gidiş mesafesi) bulunur. ",no
901,keeperrl türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
938,esnaf odasına hemen kayıt olmam kredi anında kullana bilir miyim?,"hayır, kayıt olduğunuz gibi esnaf kredisi kullanamazsınız. ticari işletme kredisi kullana bilmeniz için en az 3 ay boyunca oda kaydınızın olması gerekiyor. bu süre dönemler halinde değişiklik göstere bilmektedir. ancak, en fazla 6 ay en az ise 3 ay olarak belirlenmektedir.",no
946,the kanata inns içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında century casino (20 dk. araçla gidiş mesafesi) ve apex casino (24 dk. araçla gidiş mesafesi) bulunur. ",no
955,riad al ralia içinde kumarhane var mı? ,"hayır, bu riad otel kumarhane içermez. ancak yakında casino de marrakech (9 dk. araçla gidiş mesafesi) ve le grand casino de la mamounia (16 dk. araçla gidiş mesafesi) bulunur. ",no
958,ankara bilim üniversitesi devlet mi?,"hayır, ankara bilim üniversitesi özel bir üniversitedir.",no
983,iphone şebeke entegre değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone şebeke entegre değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
984,uzak masaüstü protokolü (rdp) veya secure shell protokolü (ssh) istemcisine ihtiyacım var mı?,"hayır, azure sanal makinenize yönelik rdp/ssh bağlantısına erişmek için istemci gerekmez. doğrudan tarayıcıdan sanal makinenize rdp/ssh erişimi elde etmek için <a href=""URL portalı</a> kullanın.",no
992,hampton by hilton amsterdam / arena boulevard içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında holland casino (20 dk. araçla gidiş mesafesi) bulunur. ",no
1006,fe belov eduard evgenevich otobüsünde tuvalet var mı?,"hayır, fe belov eduard evgenevich otobüslerinde genellikle tuvalet yoktur. endişelenmeyin. otobüs, yolculuğunuz sırasında molalar verecektir. bu sırada yürüyüş yapabilir, tuvaleti kullanabilir ve atıştırmalıklar alabilirsiniz.",no
1012,"raxul room, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
1048,eaton dc içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında mgm ulusal limanı (19 dk. araçla gidiş mesafesi) bulunur. ",no
1068,ramada by wyndham jeju seogwipo içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında jeju shinhwa world (24 dk. araçla gidiş mesafesi) bulunur. ",no
1075,black book türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
1103,busem pt otobüs biletinizi yazdırmak gerekiyor mu?,"hayır, busem pt ile yolculuk yaparken basılı bir bilete ihtiyacınız yoktur! otobüse binmek için sadece akıllı telefonunuzdaki e-biletinizi ve geçerli bir fotoğraflı kimliği gösterin. busbud'dan bilet aldığınız zaman e-biletinizi e-postayla alacaksınız.",no
1113,hotel point bleu içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında sete casino (21 dk. araçla gidiş mesafesi) bulunur. ",no
1115,hotel duas nacoes içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında lisbon casino (10 dk. araçla gidiş mesafesi) bulunur. ",no
1140,telegram kanallar i̇çin ödeme yapıyor mu?,"hayır, telegram kanallar için ödeme yapmaz. ancak telegram’dan para kazanmanın yaygın yöntemlerinden birini kullanarak kanallarınız üzerinden para kazanabilirsiniz: reklamlar, hizmet ve ürün satışları, ücretli abonelik, satış kanalları vb.",no
1150,iphone x ön cam değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone x ön cam değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
1151,privilège hôtel & apparts eurociel centre comédie içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino de palavas (11 dk. araçla gidiş mesafesi) ve casino de la grande motte (21 dk. araçla gidiş mesafesi) bulunur. ",no
1155,kozan city hotel havuza sahip mi?,"hayır, kozan city hotel tesis içinde bir havuza sahip değildir. [kayak ile en güncel fiyatları şimdi alın!](/%c4%b0zmir-otelleri-kozan-city-hotel.724538.ksp)",no
1181,112 operator - pandemic outbreak türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
1184,milanobet tv ücretli mi?,"hayır, milanobet tv sitesi tamamen ücretsiz şekilde maç yayınları ve spor kanalları hizmeti sunmaktadır.",no
1205,"la scivola rooms, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında indirimli otopark yok. ",no
1217,primorye-arsenyev otobüslerinde elektrik prizi ya da usb çıkışı var mı?,"hayır, primorye-arsenyev otobüslerinde elektrik prizi ya da usb çıkışı yok. varsa yanınızda bir pil paketi getirerek uzun otobüs yolculukları boyunca cihazlarınızı şarj etmenizi öneririz. yolculuğunuz sırasında vakit geçirmek için iyi bir kitap da getirebilirsiniz.",no
1227, kiralık eve kapasitesinden daha fazla sayıda misafir getirebilir miyim? ,"hayır. kiralık evlerimizde kalan konuklarımızın yataklar dışında kalan yerlerde uyumalarını kabul etmiyoruz ve bu konuda anlayışınızı bekliyoruz. eve bilgimiz dışında, kapasitesinden fazla misafir getirildiğinde ücret iadesi yapmadan kontratı sonlandırıyoruz. ",no
1259,spot on 47418 hotel raikar heritage içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino pearl (8 dk. yürüme mesafesi) bulunur. ",no
1278,betmatik üyelik ücretli mi?,"hayır, betmatik bahis sitesinde üyelikler ücretsizdir. hiçbir ücret ödemeden üyelik oluşturabilirsiniz.",no
1282,fullarton motor lodge içinde kumarhane var mı? ,"hayır, bu motel kumarhane içermez. ancak yakında adelaide casino (16 dk. araçla gidiş mesafesi) bulunur. ",no
1294,"la siempre alacati, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
1304,hampton inn charleston-southridge içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında mardi gras kumarhanesi (23 dk. araçla gidiş mesafesi) bulunur. ",no
1328,howard johnson hotel & suites by wyndham elk grove village içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında rivers casino (12 dk. araçla gidiş mesafesi) bulunur. ",no
1372,walsers landhotel & restaurant içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino barriere de blotzheim (29 dk. araçla gidiş mesafesi) bulunur. ",no
1378,spinola hotel içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında dragonara casino (9 dk. yürüme mesafesi) bulunur. ",no
1520,"wendlers ferienwohnung 2-3, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
1575,xiaomi redmi note 7 ses açma kapama tuşu değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi note 7 ses açma kapama tuşu değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
1608,📌 gerçek para vagonlarıyla oynamak zorunda mıyım?,"hayır. online casino bg ile ilgili en iyi şey, çeşitli oyunların demo sürümlerini ücretsiz olarak denemenize izin vermesidir. gerçek para ile oynamadan önce oyunlara alışmak için ücretsiz kredi ile demo modunda oynayabilirsiniz.",no
1662,hotel el churra içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında real casino murcia kumarhanesi (12 dk. yürüme mesafesi) bulunur. ",no
1674,e-vize için başvurumu bahreyn’de yapabilir miyim?,"hayır. bahreyn e-vizesi, bahreyn’e girişinizden önce edinilmelidir.",no
1679,mama waldy hostel içinde kumarhane var mı? ,"hayır, bu hostel kumarhane içermez. ancak yakında rio cartagena casino (8 dk. araçla gidiş mesafesi) bulunur. ",no
1689,my liva hotel havuza sahip mi?,"hayır, my liva hotel tesis içinde bir havuza sahip değildir. [kayak ile en güncel fiyatları şimdi alın!](/kayseri-otelleri-my-liva-hotel.668103.ksp)",no
1716,"deneme süresi boyunca girdiğim veriler, deneme süresi sona erdiğinde silinecek mi?","hayır, deneme süresi boyunca ön muhasebe yazılımına girdiğiniz veriler deneme sürenizin bitiminde silinmeyecektir. dilerseniz oluşturduğunuz tüm kayıtları silmek için ayarlar > firma bilgileri altından “tüm verileri sil” butonu ile hesabınızı temizleyebilirsiniz.",no
1775,xiaomi redmi note 6 pro ses açma kapama tuşu değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi redmi note 6 pro ses açma kapama tuşu değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
1783,"matiana hotel, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
1797,discount casino kapandı mı?,hayır! discount casino sitesi kapanmamıştır ve yakın tarihte kapanması mümkün olmayan siteler arasında yer alır. discount casino ülkemize yasal olmadığı için sadece giriş adresi engellenmiştir. engelli bir adrese giriş yaptığınız için kapandığını zannediyor olabilirsiniz.,no
1810,riad miral içinde kumarhane var mı? ,"hayır, bu riad otel kumarhane içermez. ancak yakında casino de marrakech (9 dk. araçla gidiş mesafesi) ve le grand casino de la mamounia (15 dk. araçla gidiş mesafesi) bulunur. ",no
1811,ekspertiz hizmetiniz ücretli mi?,"hayır, ekspertiz hizmeti firmamız tarafından ücretsiz sunulmaktadır.",no
1835,crello düzenleyicisini yüklemem gerekir mi?,"hayır, crello editörü bilgisayarınıza herhangi bir yazılım yüklemenizi gerektirmez. sadece bir profil oluşturun, çalışma dosyalarınızı yükleyin ve her yerde 7/24 medya içerik atölyesi edinin.",no
1856,sosyal sorumluluk projeleri sadece maddi desteklerle mi yapılır?,kesinlikle hayır. sosyal sorumluluk projeleri için illa bir maddi destek olması gerekmez. i̇nsanlara manevi desteklerle de proje yürütebilirsiniz.,no
1879,hard bullet türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
1885,hyatt place boston/seaport district içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında encore boston harbor tesisi (6 dk. araçla gidiş mesafesi) bulunur. ",no
1911,best western plus hershey içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında hollywood casino (14 dk. araçla gidiş mesafesi) bulunur. ",no
1921,ripple daha fazla xrp basabilir mi?,"hayır, ripple en başta belirlenen 100 milyar xrp arzının dışına çıkamaz ve daha fazla token basamaz. daha fazla bilgi için [tıklayınız](URL).",no
1922,bankalar faturalı hatta kredi veriyor mu?,hayır. bankalar bu şekilde kredi kullandırmazlar.,no
1929,✔️ sekabet üyelik ücretli mi?,"hayır, sekabet sitesi ücretsiz bir şekilde hesap açabileceğiniz bir bahis sitesidir.",no
1930,home2 suites by hilton dayton/centerville içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında hollywood gaming at dayton raceway (26 dk. araçla gidiş mesafesi) bulunur. ",no
1984,hotel dell'angelo içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino locarno kumarhanesi (5 dk. yürüme mesafesi) bulunur. ",no
2024,the lodge at santa fe içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında camel rock casino (9 dk. araçla gidiş mesafesi) bulunur. ",no
2087,fidan hotel & apartment misafirlerine otopark sunuyor mu?,"hayır, maalesef yakında ücretsiz otopark yok. ",no
2125,villa cascais içinde kumarhane var mı? ,"hayır, bu misafir evi kumarhane içermez. ancak yakında estoril casino (9 dk. araçla gidiş mesafesi) bulunur. ",no
2175,fabled lands türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
2217,giriş üzerine e-vizemi ibraz etmem gerekir mi?,"hayır; zira giriş noktalarındaki göçmenlik yetkilileri e-vize onayınızı kendi sistemlerinde doğrulayabilmektedir. ancak, her ihtimale karşı yazdırılmış e-vize onay yazınızı yanınızda taşımanız tavsiye edilir.",no
2232,başka birinin hesabına para yatırabilir miyim?,"hayır, hesabınıza yalnızca adınızda tutulan bir ödeme yöntemini kullanarak para yatırabilirsiniz.",no
2236,hotel zum kaffeekännchen içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında gezi yolu kumarhanesi (27 dk. araçla gidiş mesafesi) bulunur. ",no
2242,✔️ nane yaprağı tek başına zayıflatmaya yardımcı olur mu?,"hayır, tek başına zayıflamaya yardımcı olmaz. nane yaprağı ile hazırlanan yada nane yaprağı içeren bitkisel karışımlarla zayıflamak mümkündür.",no
2245,"b&b le jardin de tesse, misafirlerine otelde otopark imkânı sunuyor mu? ","maalesef hayır, ancak araçlar sokağa park edilebilir. ",no
2252,netent oyunlarında hile var mı?,"hayır, netent tarafından geliştirilen casino oyunları hile içermez. hile olabilecek ya da 3.parti program müdahaleleri en kısa süre içerisinde netent tarafından düzeltilmektedir.",no
2263,kütahya spor salonu fitness web sitesi yaptırdığımda her yıl aynı ücreti mi ödeyeceğim?,"hayır, her yıl sadece domain, hosting gibi web sitesini oluşturan ana birimlerin uzatılması ödenmektedir. ",no
2351,"b&b anita, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
2395,iphone 8 plus görüntü entegresi değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. iphone 8 plus görüntü entegresi değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
2399,residence inn by marriott cleveland downtown içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında horseshoe kumarhanesi (5 dk. yürüme mesafesi) ve jack cleveland kumarhanesi (8 dk. yürüme mesafesi) bulunur. ",no
2400,"lovely cat's room urrunaga, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında ücretsiz otopark yok. ",no
2409,golden tulip midtown hotel and suites içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında casino du liban kumarhanesi (18 dk. araçla gidiş mesafesi) bulunur. ",no
2418,mighty goose türkçe mi?,"hayır, türkçe dil desteği bulunmamaktadır.",no
2424,testim bitmezse bitirene kadar pomodoro süresini uzatabilir miyim?,hayır. pomodoro tekniği ile test sayısına göre değil. zamana göre ders çalışırsınız. amaç dikkatinizin dağılmasını engelleyerek çalışırken yorulmamanızı sağlamaktır.,no
2455,oasis'de kablosuz ağ var mı?,"hayır, oasis otobüslerinde kablosuz ağ yok! endişe etmeyin, otobüsteki zamanınızı ihtiyacınız olan uykuyu uyumak için kullanabilirsiniz! ayrıca en sevdiğiniz filmleri, tv dizilerini ve sesli kitapları indirebilir ya da iyi bir kitap getirebilirsiniz.",no
2494,youtube dislike hizmetinde zamanla düşüş yaşanır mı?,hayır; firmamız tarafından verilen hiçbir hizmet konusunda herhangi bir düşüş durumu söz konusu değildir. ,no
2495,"gateway residence, misafirlerine otelde otopark imkânı sunuyor mu? ","hayır, maalesef yakında indirimli otopark yok. ",no
2515,"budget, paris orly havaalanı havalimanı (ory) havaalanında araç kiralama şubesine sahip mi?",hayır (verilerimize göre),no
2516,poker sitelerinde hile kullanabilir miyim?,"hayır, poker siteleri üst düzey güvenliğe sahiptir ve hiçbir şekilde hile kullanamazsınız. hile kullanmanız durumunda hesabınız bloke edilir.",no
2517,🎁 yorkbet yatırım bonusu veriyor mu?,hayır. yorkbet sitesi yatırımlarınıza bonus vermemektedir.,no
2527,xiaomi mi 8 explorer edition açma kapama güç tuşu değişimi sırasında verilerim ( resimler yada rehber ) gibi bilgilerim silinir mi ?,"hayır. xiaomi mi 8 explorer edition açma kapama güç tuşu değişimi hizmetinde cep market mağazasında verileriniz silinmez, zarar görmez.",no
2550,eurolines kautra bc otobüs biletinizi yazdırmak gerekiyor mu?,"hayır, eurolines kautra bc biletinizi yazdırmanıza gerek yoktur! akıllı telefonunuzdaki e-biletinizi ve geçerli bir fotoğraflı kimliği göstererek otobüse binebilirsiniz. e-biletiniz busbud'dan bilet almanızın hemen ardından size e-postayla gönderilecektir.",no
2560,accent inns kamloops içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında lake city casino kamloops kumarhanesi (8 dk. araçla gidiş mesafesi) bulunur. ",no
2564,letonya şehrinde geçici ehliyete sahip araç kiralayabilir miyim?,"hayır, birlikte çalıştığımız tüm araç kiralama acenteleri geçici ehliyet kabul etmiyor. araç kiralayabilmeniz için tam bir ehliyetinizin olması gerekir. ",no
2565,st.pierre içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında holland casino scheveningen (22 dk. araçla gidiş mesafesi) bulunur. ",no
2602,sheraton suites chicago elk grove içinde kumarhane var mı? ,"hayır, bu otel kumarhane içermez. ancak yakında rivers casino (10 dk. araçla gidiş mesafesi) bulunur. ",no
